,HomeTAZfactor,superD_dest,taz_driving,taz_transit,commuter_count,home_lat,home_lon,dest_lat,dest_lon,line,geometry
0,2,1.0,7.0,8.0,47,37.79194939130435,-122.40115917391304,37.78871765471821,-122.4090009205355,"LINESTRING (-122.401159173913 37.79194939130435, -122.4090009205355 37.78871765471821)","LINESTRING (-122.401159173913 37.79194939130435, -122.4090009205355 37.78871765471821)"
1,3,1.0,6.0,5.0,77,37.790803825,-122.406266125,37.78871765471821,-122.4090009205355,"LINESTRING (-122.406266125 37.790803825, -122.4090009205355 37.78871765471821)","LINESTRING (-122.406266125 37.790803825, -122.4090009205355 37.78871765471821)"
2,4,1.0,6.0,4.0,23,37.789744157894724,-122.40378621052632,37.78871765471821,-122.4090009205355,"LINESTRING (-122.4037862105263 37.78974415789472, -122.4090009205355 37.78871765471821)","LINESTRING (-122.4037862105263 37.78974415789472, -122.4090009205355 37.78871765471821)"
3,5,1.0,4.0,4.0,166,37.79021086341464,-122.4074108292683,37.78871765471821,-122.4090009205355,"LINESTRING (-122.4074108292683 37.79021086341464, -122.4090009205355 37.78871765471821)","LINESTRING (-122.4074108292683 37.79021086341464, -122.4090009205355 37.78871765471821)"
4,5,2.0,12.0,26.0,23,37.79021086341464,-122.4074108292683,37.784944918887184,-122.44528827456274,"LINESTRING (-122.4074108292683 37.79021086341464, -122.4452882745627 37.78494491888718)","LINESTRING (-122.4074108292683 37.79021086341464, -122.4452882745627 37.78494491888718)"
5,5,3.0,28.0,19.0,41,37.79021086341464,-122.4074108292683,37.75073743885415,-122.42052814221316,"LINESTRING (-122.4074108292683 37.79021086341464, -122.4205281422132 37.75073743885415)","LINESTRING (-122.4074108292683 37.79021086341464, -122.4205281422132 37.75073743885415)"
6,6,1.0,2.0,4.0,894,37.78945631,-122.41239440000001,37.78871765471821,-122.4090009205355,"LINESTRING (-122.4123944 37.78945631, -122.4090009205355 37.78871765471821)","LINESTRING (-122.4123944 37.78945631, -122.4090009205355 37.78871765471821)"
7,6,2.0,12.0,22.0,162,37.78945630523256,-122.41239439534884,37.784944918887184,-122.44528827456274,"LINESTRING (-122.4123943953488 37.78945630523256, -122.4452882745627 37.78494491888718)","LINESTRING (-122.4123943953488 37.78945630523256, -122.4452882745627 37.78494491888718)"
8,6,3.0,27.0,21.0,153,37.78945630523256,-122.41239439534884,37.75073743885415,-122.42052814221316,"LINESTRING (-122.4123943953488 37.78945630523256, -122.4205281422132 37.75073743885415)","LINESTRING (-122.4123943953488 37.78945630523256, -122.4205281422132 37.75073743885415)"
9,6,4.0,32.0,33.0,39,37.78945630523256,-122.41239439534884,37.742438374444,-122.4808705677315,"LINESTRING (-122.4123943953488 37.78945630523256, -122.4808705677315 37.742438374444)","LINESTRING (-122.4123943953488 37.78945630523256, -122.4808705677315 37.742438374444)"
10,6,5.0,32.0,54.0,36,37.78945630523256,-122.41239439534884,37.65355542190556,-122.44983365772562,"LINESTRING (-122.4123943953488 37.78945630523256, -122.4498336577256 37.65355542190556)","LINESTRING (-122.4123943953488 37.78945630523256, -122.4498336577256 37.65355542190556)"
11,6,18.0,32.0,56.0,27,37.78945630523256,-122.41239439534884,37.79525905351587,-122.23454234396392,"LINESTRING (-122.4123943953488 37.78945630523256, -122.2345423439639 37.79525905351587)","LINESTRING (-122.4123943953488 37.78945630523256, -122.2345423439639 37.79525905351587)"
12,7,1.0,5.0,7.0,1292,37.78685991,-122.41377879999999,37.78871765471821,-122.4090009205355,"LINESTRING (-122.4137788 37.78685991, -122.4090009205355 37.78871765471821)","LINESTRING (-122.4137788 37.78685991, -122.4090009205355 37.78871765471821)"
