taz_key,median_rent,no_of_rentals,taz_driving,taz_transit,commuter_count,home_superD,commute_cost_min,commute_cost_median,all_costs,all_index,com_index,rent_index
2.0,5200.0,23,7.0,8.0,47,1.0,48.0,144.0,5344.0,58.0,8.0,61.0
3.0,1500.0,40,6.0,5.0,77,1.0,38.0,114.0,1614.0,18.0,6.0,18.0
4.0,4625.0,38,6.0,4.0,23,1.0,37.0,109.0,4734.0,52.0,6.0,54.0
5.0,2650.0,205,9.0,9.0,230,1.0,60.0,178.0,2828.0,31.0,10.0,31.0
6.0,2272.5,344,9.0,12.0,1311,1.0,65.0,193.0,2465.5,27.0,11.0,27.0
7.0,2095.0,397,11.0,14.0,2045,1.0,78.0,233.0,2328.0,25.0,13.0,25.0
8.0,1645.0,141,12.0,16.0,2142,1.0,87.0,258.0,1903.0,21.0,15.0,19.0
9.0,2150.0,469,13.0,18.0,3320,1.0,95.0,282.0,2432.0,27.0,16.0,25.0
10.0,3424.0,504,15.0,19.0,888,1.0,107.0,317.0,3741.0,41.0,18.0,40.0
11.0,3277.0,236,16.0,16.0,1391,1.0,107.0,317.0,3594.0,39.0,18.0,39.0
12.0,3900.0,79,7.0,10.0,52,1.0,52.0,154.0,4054.0,44.0,9.0,46.0
13.0,3400.0,13,11.0,9.0,61,1.0,70.0,208.0,3608.0,39.0,12.0,40.0
14.0,6090.0,110,12.0,12.0,50,1.0,80.0,238.0,6328.0,69.0,14.0,72.0
16.0,4295.0,619,16.0,22.0,772,1.0,117.0,347.0,4642.0,51.0,20.0,51.0
17.0,4250.0,533,19.0,29.0,2585,1.0,143.0,426.0,4676.0,51.0,24.0,50.0
18.0,3295.0,489,17.0,20.0,134,1.0,118.0,352.0,3647.0,40.0,20.0,39.0
19.0,3500.0,84,15.0,25.0,584,1.0,117.0,347.0,3847.0,42.0,20.0,41.0
20.0,3700.0,186,16.0,25.0,834,1.0,122.0,362.0,4062.0,44.0,21.0,44.0
21.0,3648.0,567,13.0,22.0,1066,1.0,102.0,302.0,3950.0,43.0,17.0,43.0
22.0,3500.0,59,17.0,21.0,616,1.0,120.0,357.0,3857.0,42.0,20.0,41.0
23.0,4135.0,142,15.0,23.0,215,1.0,113.0,337.0,4472.0,49.0,19.0,49.0
24.0,2285.0,20,11.0,15.0,165,1.0,80.0,238.0,2523.0,28.0,14.0,27.0
25.0,3200.0,7,12.0,16.0,849,1.0,87.0,258.0,3458.0,38.0,15.0,38.0
26.0,1587.5,10,10.0,12.0,436,1.0,70.0,208.0,1795.5,20.0,12.0,19.0
27.0,3027.0,87,10.0,10.0,914,1.0,67.0,198.0,3225.0,35.0,11.0,36.0
28.0,3650.0,247,11.0,16.0,1260,1.0,82.0,243.0,3893.0,42.0,14.0,43.0
29.0,3250.0,306,9.0,12.0,1804,1.0,65.0,193.0,3443.0,38.0,11.0,38.0
30.0,1874.0,328,11.0,16.0,2712,1.0,82.0,243.0,2117.0,23.0,14.0,22.0
31.0,2300.0,279,11.0,19.0,1469,1.0,87.0,258.0,2558.0,28.0,15.0,27.0
32.0,2750.0,493,12.0,22.0,2088,1.0,97.0,287.0,3037.0,33.0,16.0,32.0
33.0,3750.0,163,13.0,23.0,1811,1.0,103.0,307.0,4057.0,44.0,18.0,44.0
34.0,3750.0,215,15.0,26.0,1588,1.0,118.0,352.0,4102.0,45.0,20.0,44.0
35.0,5e3,262,14.0,24.0,1774,1.0,110.0,327.0,5327.0,58.0,19.0,59.0
36.0,3595.0,48,12.0,20.0,1452,1.0,93.0,278.0,3873.0,42.0,16.0,42.0
37.0,3200.0,161,15.0,20.0,1488,1.0,108.0,322.0,3522.0,38.0,18.0,38.0
38.0,3922.5,246,19.0,29.0,1781,1.0,143.0,426.0,4348.5,47.0,24.0,46.0
39.0,4209.0,303,15.0,24.0,1356,1.0,115.0,342.0,4551.0,50.0,19.0,50.0
40.0,4300.0,348,17.0,27.0,1479,1.0,130.0,387.0,4687.0,51.0,22.0,51.0
41.0,3e3,72,18.0,27.0,1157,1.0,135.0,401.0,3401.0,37.0,23.0,35.0
42.0,3750.0,11,24.0,41.0,2363,1.0,188.0,560.0,4310.0,47.0,32.0,44.0
43.0,3550.0,224,19.0,38.0,1816,2.0,158.0,471.0,4021.0,44.0,27.0,42.0
44.0,3650.0,409,19.0,36.0,2318,2.0,155.0,461.0,4111.0,45.0,26.0,43.0
45.0,3300.0,224,17.0,33.0,1597,2.0,140.0,416.0,3716.0,41.0,24.0,39.0
46.0,4250.0,762,15.0,28.0,3112,2.0,122.0,362.0,4612.0,50.0,21.0,50.0
47.0,3950.0,103,14.0,29.0,905,2.0,118.0,352.0,4302.0,47.0,20.0,46.0
48.0,3997.5,122,14.0,30.0,1355,2.0,120.0,357.0,4354.5,47.0,20.0,47.0
49.0,4995.0,384,15.0,28.0,1462,2.0,122.0,362.0,5357.0,58.0,21.0,59.0
50.0,3975.0,310,18.0,36.0,1543,2.0,150.0,446.0,4421.0,48.0,25.0,47.0
51.0,4050.0,186,21.0,39.0,1272,2.0,170.0,505.0,4555.0,50.0,29.0,48.0
52.0,3648.0,106,20.0,44.0,1108,2.0,173.0,515.0,4163.0,45.0,29.0,43.0
53.0,3117.0,206,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.0
54.0,2500.0,94,25.0,51.0,2256,2.0,210.0,624.0,3124.0,34.0,36.0,29.0
55.0,3495.0,79,25.0,45.0,1215,2.0,200.0,595.0,4090.0,45.0,34.0,41.0
56.0,2800.0,1,22.0,38.0,60,2.0,173.0,515.0,3315.0,36.0,29.0,33.0
57.0,3500.0,15,21.0,40.0,826,2.0,172.0,510.0,4010.0,44.0,29.0,41.0
58.0,2800.0,127,22.0,43.0,1975,2.0,182.0,540.0,3340.0,36.0,31.0,33.0
59.0,2600.0,222,23.0,45.0,2722,2.0,190.0,565.0,3165.0,35.0,32.0,31.0
60.0,3e3,71,22.0,43.0,1328,2.0,182.0,540.0,3540.0,39.0,31.0,35.0
61.0,2600.0,144,20.0,40.0,1537,2.0,167.0,496.0,3096.0,34.0,28.0,31.0
62.0,3250.0,202,21.0,38.0,2663,2.0,168.0,501.0,3751.0,41.0,29.0,38.0
63.0,2295.0,85,21.0,41.0,1806,2.0,173.0,515.0,2810.0,31.0,29.0,27.0
64.0,2325.0,120,18.0,36.0,2211,2.0,150.0,446.0,2771.0,30.0,25.0,27.0
65.0,3e3,68,18.0,36.0,1946,2.0,150.0,446.0,3446.0,38.0,25.0,35.0
66.0,3150.0,73,17.0,31.0,1378,2.0,137.0,406.0,3556.0,39.0,23.0,37.0
67.0,2900.0,154,16.0,33.0,1789,2.0,135.0,401.0,3301.0,36.0,23.0,34.0
68.0,3675.0,59,16.0,31.0,1027,2.0,132.0,391.0,4066.0,44.0,22.0,43.0
69.0,3295.0,172,15.0,26.0,2547,2.0,118.0,352.0,3647.0,40.0,20.0,39.0
70.0,3495.0,289,15.0,30.0,2223,2.0,125.0,372.0,3867.0,42.0,21.0,41.0
71.0,4300.0,148,16.0,31.0,1486,2.0,132.0,391.0,4691.0,51.0,22.0,51.0
72.0,3097.5,92,12.0,26.0,788,2.0,103.0,307.0,3404.5,37.0,18.0,36.0
73.0,2850.0,170,12.0,24.0,1370,2.0,100.0,297.0,3147.0,34.0,17.0,34.0
74.0,3495.0,410,11.0,22.0,874,2.0,92.0,273.0,3768.0,41.0,16.0,41.0
75.0,3697.5,330,12.0,19.0,753,2.0,92.0,273.0,3970.5,43.0,16.0,44.0
76.0,2950.0,79,12.0,20.0,734,2.0,93.0,278.0,3228.0,35.0,16.0,35.0
77.0,2872.5,74,12.0,22.0,1448,2.0,97.0,287.0,3159.5,34.0,16.0,34.0
78.0,2800.0,65,12.0,23.0,1579,2.0,98.0,292.0,3092.0,34.0,17.0,33.0
79.0,2750.0,156,14.0,25.0,1088,2.0,112.0,332.0,3082.0,34.0,19.0,32.0
80.0,5500.0,114,15.0,29.0,1682,2.0,123.0,367.0,5867.0,64.0,21.0,65.0
81.0,3725.0,320,18.0,30.0,2788,2.0,140.0,416.0,4141.0,45.0,24.0,44.0
82.0,4495.0,75,16.0,24.0,1173,2.0,120.0,357.0,4852.0,53.0,20.0,53.0
83.0,3490.0,71,19.0,31.0,1286,2.0,147.0,436.0,3926.0,43.0,25.0,41.0
84.0,3395.0,92,17.0,30.0,1849,2.0,135.0,401.0,3796.0,41.0,23.0,40.0
85.0,4795.0,160,15.0,27.0,1316,2.0,120.0,357.0,5152.0,56.0,20.0,56.0
86.0,3295.0,183,13.0,24.0,2488,2.0,105.0,312.0,3607.0,39.0,18.0,39.0
87.0,3895.0,123,16.0,30.0,1820,2.0,130.0,387.0,4282.0,47.0,22.0,46.0
88.0,3250.0,351,17.0,33.0,2089,2.0,140.0,416.0,3666.0,40.0,24.0,38.0
89.0,3500.0,230,19.0,30.0,3008,2.0,145.0,431.0,3931.0,43.0,25.0,41.0
90.0,2649.5,108,21.0,35.0,1612,3.0,163.0,486.0,3135.5,34.0,28.0,31.0
91.0,2745.0,192,21.0,53.0,1783,3.0,193.0,575.0,3320.0,36.0,33.0,32.0
92.0,3800.0,33,20.0,40.0,574,3.0,167.0,496.0,4296.0,47.0,28.0,45.0
93.0,3995.0,349,22.0,34.0,2626,3.0,167.0,496.0,4491.0,49.0,28.0,47.0
94.0,4425.0,68,19.0,26.0,940,3.0,138.0,411.0,4836.0,53.0,23.0,52.0
95.0,3550.0,123,19.0,27.0,1023,3.0,140.0,416.0,3966.0,43.0,24.0,42.0
96.0,4950.0,62,18.0,28.0,958,3.0,137.0,406.0,5356.0,58.0,23.0,58.0
97.0,4e3,79,17.0,27.0,1106,3.0,130.0,387.0,4387.0,48.0,22.0,47.0
98.0,3700.0,95,19.0,28.0,1350,3.0,142.0,421.0,4121.0,45.0,24.0,44.0
99.0,2950.0,84,17.0,21.0,1737,3.0,120.0,357.0,3307.0,36.0,20.0,35.0
100.0,2780.0,60,16.0,16.0,1959,3.0,107.0,317.0,3097.0,34.0,18.0,33.0
101.0,3480.0,95,16.0,23.0,3157,3.0,118.0,352.0,3832.0,42.0,20.0,41.0
