GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Per capita income in the past 12 months (in 2014 Inflation-adjusted dollars),Margin of Error; Per capita income in the past 12 months (in 2014 Inflation-adjusted dollars)
0500000US06001,6001,"Alameda County, California",36439,298
0500000US06003,6003,"Alpine County, California",24375,3467
0500000US06005,6005,"Amador County, California",27373,1993
0500000US06007,6007,"Butte County, California",24430,526
0500000US06009,6009,"Calaveras County, California",29296,1369
0500000US06011,6011,"Colusa County, California",22211,1674
0500000US06013,6013,"Contra Costa County, California",38770,365
0500000US06015,6015,"Del Norte County, California",19424,1324
0500000US06017,6017,"El Dorado County, California",35128,959
0500000US06019,6019,"Fresno County, California",20231,250
0500000US06021,6021,"Glenn County, California",21698,1728
0500000US06023,6023,"Humboldt County, California",23516,585
0500000US06025,6025,"Imperial County, California",16409,429
0500000US06027,6027,"Inyo County, California",27028,1092
0500000US06029,6029,"Kern County, California",20467,218
0500000US06031,6031,"Kings County, California",18518,564
0500000US06033,6033,"Lake County, California",21310,886
0500000US06035,6035,"Lassen County, California",19847,1091
0500000US06037,6037,"Los Angeles County, California",27987,130
0500000US06039,6039,"Madera County, California",17797,538
0500000US06041,6041,"Marin County, California",58004,1457
0500000US06043,6043,"Mariposa County, California",28327,1832
0500000US06045,6045,"Mendocino County, California",23712,1153
0500000US06047,6047,"Merced County, California",18464,378
0500000US06049,6049,"Modoc County, California",21830,1967
0500000US06051,6051,"Mono County, California",29578,2154
0500000US06053,6053,"Monterey County, California",25048,505
0500000US06055,6055,"Napa County, California",35092,882
0500000US06057,6057,"Nevada County, California",32117,1121
0500000US06059,6059,"Orange County, California",34416,232
0500000US06061,6061,"Placer County, California",35711,602
0500000US06063,6063,"Plumas County, California",29167,1855
0500000US06065,6065,"Riverside County, California",23660,153
0500000US06067,6067,"Sacramento County, California",27071,253
0500000US06069,6069,"San Benito County, California",26317,908
0500000US06071,6071,"San Bernardino County, California",21384,138
0500000US06073,6073,"San Diego County, California",31043,206
0500000US06075,6075,"San Francisco County, California",49986,682
0500000US06077,6077,"San Joaquin County, California",22642,312
0500000US06079,6079,"San Luis Obispo County, California",30392,629
0500000US06081,6081,"San Mateo County, California",47198,590
0500000US06083,6083,"Santa Barbara County, California",30526,489
0500000US06085,6085,"Santa Clara County, California",42666,322
0500000US06087,6087,"Santa Cruz County, California",33050,595
0500000US06089,6089,"Shasta County, California",23763,505
0500000US06091,6091,"Sierra County, California",28030,4801
0500000US06093,6093,"Siskiyou County, California",22482,799
0500000US06095,6095,"Solano County, California",29132,579
0500000US06097,6097,"Sonoma County, California",33361,529
0500000US06099,6099,"Stanislaus County, California",21729,374
0500000US06101,6101,"Sutter County, California",23828,1033
0500000US06103,6103,"Tehama County, California",21002,651
0500000US06105,6105,"Trinity County, California",23145,1681
0500000US06107,6107,"Tulare County, California",17888,354
0500000US06109,6109,"Tuolumne County, California",26063,1177
0500000US06111,6111,"Ventura County, California",33308,308
0500000US06113,6113,"Yolo County, California",28080,557
0500000US06115,6115,"Yuba County, California",19586,774
