GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015
0500000US06001,6001,"Alameda County, California",1510271,1510261,1513754,1533052,1556952,1583845,1612850,1638215
0500000US06003,6003,"Alpine County, California",1175,1175,1159,1111,1126,1144,1107,1110
0500000US06005,6005,"Amador County, California",38091,38091,37873,37538,37099,36591,36744,37001
0500000US06007,6007,"Butte County, California",220000,220000,219977,220019,221205,222154,224033,225411
0500000US06009,6009,"Calaveras County, California",45578,45578,45464,45101,44755,44574,44575,44828
0500000US06011,6011,"Colusa County, California",21419,21419,21446,21389,21370,21389,21351,21482
0500000US06013,6013,"Contra Costa County, California",1049025,1049197,1052921,1066636,1079290,1095959,1111710,1126745
0500000US06015,6015,"Del Norte County, California",28610,28610,28566,28468,28201,27821,27194,27254
0500000US06017,6017,"El Dorado County, California",181058,181057,181148,180905,180579,181480,183050,184452
0500000US06019,6019,"Fresno County, California",930450,930452,932462,940971,947713,955217,964983,974861
0500000US06021,6021,"Glenn County, California",28122,28122,28110,28199,27955,27943,28030,28017
0500000US06023,6023,"Humboldt County, California",134623,134623,135026,135267,134703,134640,134831,135727
0500000US06025,6025,"Imperial County, California",174528,174528,174750,176372,177557,177579,179332,180191
0500000US06027,6027,"Inyo County, California",18546,18546,18513,18399,18405,18403,18396,18260
0500000US06029,6029,"Kern County, California",839631,839631,841682,849949,856576,865787,874190,882176
0500000US06031,6031,"Kings County, California",152982,152982,152367,151969,151201,150748,150108,150965
0500000US06033,6033,"Lake County, California",64665,64665,64744,64264,63974,63803,64156,64591
0500000US06035,6035,"Lassen County, California",34895,34895,34839,34298,33674,32176,31732,31345
0500000US06037,6037,"Los Angeles County, California",9818605,9818700,9826009,9896602,9970436,10045175,10109436,10170292
0500000US06039,6039,"Madera County, California",150865,150865,151125,152089,152160,152125,154562,154998
0500000US06041,6041,"Marin County, California",252409,252409,252903,255403,256021,258552,260550,261221
0500000US06043,6043,"Mariposa County, California",18251,18250,18260,18191,17855,17734,17636,17531
0500000US06045,6045,"Mendocino County, California",87841,87840,87811,87495,87522,87373,87683,87649
0500000US06047,6047,"Merced County, California",255793,255798,256832,259784,261788,263312,266087,268455
0500000US06049,6049,"Modoc County, California",9686,9686,9697,9497,9333,9110,9015,8965
0500000US06051,6051,"Mono County, California",14202,14202,14246,14405,14322,14037,14057,13909
0500000US06053,6053,"Monterey County, California",415057,415057,416413,421466,426441,429109,431293,433898
0500000US06055,6055,"Napa County, California",136484,136530,136810,137998,139055,140413,141551,142456
0500000US06057,6057,"Nevada County, California",98764,98748,98777,98779,98288,98142,98763,98877
0500000US06059,6059,"Orange County, California",3010232,3010266,3017866,3056084,3089343,3120180,3144961,3169776
0500000US06061,6061,"Placer County, California",348432,348494,350234,356832,361215,366858,371105,375391
0500000US06063,6063,"Plumas County, California",20007,20007,19918,19684,19326,18841,18570,18409
0500000US06065,6065,"Riverside County, California",2189641,2189760,2202286,2237433,2267556,2295816,2328329,2361026
0500000US06067,6067,"Sacramento County, California",1418788,1418742,1422010,1435548,1448466,1462338,1481474,1501335
0500000US06069,6069,"San Benito County, California",55269,55269,55557,56197,56885,57605,58308,58792
0500000US06071,6071,"San Bernardino County, California",2035210,2035212,2041642,2064200,2079526,2091599,2110386,2128133
0500000US06073,6073,"San Diego County, California",3095313,3095308,3104386,3142256,3184358,3223645,3265700,3299521
0500000US06075,6075,"San Francisco County, California",805235,805195,805813,816231,829517,840715,852537,864816
0500000US06077,6077,"San Joaquin County, California",685306,685308,687442,695432,701464,704654,715114,726106
0500000US06079,6079,"San Luis Obispo County, California",269637,269593,269905,271208,274552,276308,279116,281401
0500000US06081,6081,"San Mateo County, California",718451,718498,719973,729435,740645,750109,758333,765135
0500000US06083,6083,"Santa Barbara County, California",423895,423939,424379,426131,430873,436248,441228,444769
0500000US06085,6085,"Santa Clara County, California",1781642,1781672,1786844,1814205,1841318,1871140,1896040,1918044
0500000US06087,6087,"Santa Cruz County, California",262382,262362,263266,264971,266597,269277,271401,274146
0500000US06089,6089,"Shasta County, California",177223,177223,177317,177969,178421,179041,179747,179533
0500000US06091,6091,"Sierra County, California",3240,3240,3221,3105,3075,3035,2979,2967
0500000US06093,6093,"Siskiyou County, California",44900,44900,44940,44672,44148,43635,43465,43554
0500000US06095,6095,"Solano County, California",413344,413344,414062,416754,420360,424770,430791,436092
0500000US06097,6097,"Sonoma County, California",483878,483880,484791,487778,490746,495046,499674,502146
0500000US06099,6099,"Stanislaus County, California",514453,514451,515334,518282,522097,526119,531951,538388
0500000US06101,6101,"Sutter County, California",94737,94737,94802,94659,94479,95032,95604,96463
0500000US06103,6103,"Tehama County, California",63463,63461,63593,63285,63222,62984,62961,63308
0500000US06105,6105,"Trinity County, California",13786,13786,13764,13723,13508,13436,13128,13069
0500000US06107,6107,"Tulare County, California",442179,442182,443081,447615,451218,454208,457260,459863
0500000US06109,6109,"Tuolumne County, California",55365,55365,55185,54746,54129,53940,53872,53709
0500000US06111,6111,"Ventura County, California",823318,823387,825298,831130,835416,840964,846119,850536
0500000US06113,6113,"Yolo County, California",200849,200850,201129,202283,205093,206958,209250,213016
0500000US06115,6115,"Yuba County, California",72155,72155,72357,72570,72946,73292,73883,74492
