,,,,,,How important were each of the following factors in making it possible for you to acquire a PEV?,,,,,,,,,,,,
County,Lease/Purchase,Vehicle Category,Make,4) Which of these factors was the most important reason why you decided to acquire a PEV? If it is not listed please describe it.,Other (please explain):Which of these factors was the most important reason why you decided to acquire a PEV?,5a) Federal Tax Incentives,5b) State Rebate (CVRP),5c) The option to lease a PEV,5d) Access to workplace charging,5e) Other incentive program,6) Have you already or will you be applying for an HOV lane sticker?,Disadvantaged Community,Weight,,,,,
Ventura,Purchase,BEV,Nissan,1,,5,5,1,4,4,1,0,0.733644297,,,,,
Los Angeles,Lease,BEV,Nissan,1,,5,4,4,5,5,1,0,1.025456666,,,,,
Los Angeles,Purchase,BEV,Tesla,1,,3,4,1,2,3,1,0,0.897925164,,,,,
Alameda,Lease,BEV,Nissan,1,,5,5,5,3,5,1,0,1.049249624,,,,,
Orange,Purchase,BEV,Toyota,1,,5,5,3,4,4,1,0,0.72485793,,,,,
Santa Clara,Lease,PHEV,Chevrolet,1,,5,5,5,4,5,1,0,1.276157154,,,,,
Sonoma,Purchase,PHEV,Ford,1,,4,2,1,,4,1,0,0.677794484,,,,,
Orange,Lease,BEV,Nissan,1,,5,5,5,,1,1,0,1.169072537,,,,,
Los Angeles,Lease,PHEV,Chevrolet,1,,5,5,5,2,1,,0,1.255790796,,,,,
Orange,Purchase,BEV,Tesla,1,,4,4,1,4,4,1,0,0.914013272,,,,,
Ventura,Purchase,BEV,Tesla,1,,3,3,1,1,,1,0,0.777963697,,,,,
Los Angeles,Lease,BEV,Nissan,1,,4,3,2,1,1,1,0,1.148494974,,,,,
Santa Barbara,Lease,PHEV,Chevrolet,1,,5,5,5,5,5,0,1,0.931069469,,,,,
Los Angeles,Purchase,PHEV,Chevrolet,1,,,5,5,,,1,1,0.984694837,,,,,
Los Angeles,Lease,PHEV,Chevrolet,1,,5,5,5,1,5,1,0,1.255790796,,,,,
San Francisco,Purchase,BEV,Tesla,1,,3,3,1,1,1,1,0,0.934243587,,,,,
Los Angeles,Lease,BEV,Nissan,1,,5,4,5,1,3,1,1,1.025456666,,,,,
Orange,Lease,PHEV,Chevrolet,1,,4,3,5,1,4,1,0,1.278290776,,,,,
Santa Clara,Purchase,BEV,Chevrolet,1,,5,5,1,2,1,1,0,0.699589284,,,,,
Los Angeles,Lease,PHEV,Toyota,1,,4,4,4,5,4,1,0,1.667126168,,,,,
Orange,Purchase,BEV,Tesla,1,,5,4,3,4,4,1,0,0.914013272,,,,,
San Diego,Lease,PHEV,Chevrolet,1,,5,5,5,4,5,1,0,1.033841441,,,,,
Sacramento,Purchase,PHEV,Chevrolet,1,,5,5,1,5,1,0,0,0.708338203,,,,,
Los Angeles,Purchase,BEV,Tesla,1,,5,5,1,1,1,1,0,0.954964549,,,,,
Los Angeles,Lease,PHEV,Chevrolet,1,,3,5,5,1,1,1,0,1.255790796,,,,,
Sonoma,Lease,BEV,Chevrolet,1,,5,5,5,5,1,1,0,0.708679764,,,,,
Sacramento,Purchase,PHEV,Ford,1,,4,4,1,1,1,0,0,0.604030575,,,,,
Sacramento,Lease,BEV,Nissan,1,,5,5,4,,4,1,0,0.737660141,,,,,
Orange,Purchase,BEV,Tesla,1,,4,4,1,3,1,1,0,0.972074631,,,,,
San Luis Obispo,Lease,BEV,Nissan,1,,5,5,5,5,1,0,0,0.717473874,,,,,
Fresno,Lease,BEV,Nissan,1,,1,5,4,1,5,0,0,0.892403543,,,,,
San Mateo,Lease,PHEV,Chevrolet,1,,5,5,5,1,1,1,0,1.258371031,,,,,
Alameda,Purchase,PHEV,Ford,1,,4,4,1,5,4,1,0,0.859174597,,,,,
Santa Clara,Lease,BEV,Other,1,,1,4,5,5,1,1,0,0.608062743,,,,,
Los Angeles,Lease,PHEV,Chevrolet,1,,3,4,3,5,1,1,0,1.255790796,,,,,
Contra Costa,Lease,BEV,Nissan,1,,5,5,5,,,1,0,1.009898988,,,,,
Los Angeles,Purchase,BEV,Tesla,1,,5,5,3,2,5,1,0,0.897925164,,,,,
Riverside,Lease,PHEV,Chevrolet,1,,5,5,5,,,1,0,1.086407904,,,,,
Los Angeles,Lease,PHEV,Chevrolet,1,,4,4,4,5,1,1,0,1.255790796,,,,,
Riverside,Lease,BEV,Ford,1,,3,5,5,5,1,0,0,0.833822583,,,,,
Los Angeles,Lease,BEV,Nissan,1,,5,5,4,3,3,1,0,1.025456666,,,,,
Solano,Lease,BEV,Nissan,1,,5,5,5,1,5,1,0,0.95908376,,,,,
Los Angeles,Lease,BEV,Nissan,1,,5,5,5,3,1,1,0,1.025456666,,,,,
Sonoma,Purchase,BEV,Tesla,1,,4,1,2,1,1,1,0,0.770841986,,,,,
Orange,Lease,BEV,Nissan,1,,5,5,3,3,5,1,1,1.043829753,,,,,
Los Angeles,Lease,BEV,Toyota,1,,4,5,5,3,5,1,0,0.908147037,,,,,
San Diego,Lease,BEV,Nissan,1,,5,5,5,5,5,1,0,0.844216728,,,,,
Alameda,Lease,BEV,Nissan,1,,5,5,5,1,,1,0,1.232783915,,,,,
Orange,Purchase,PHEV,Chevrolet,1,,4,4,1,3,1,1,0,1.002337596,,,,,
Los Angeles,Lease,BEV,FIAT,1,,5,5,5,1,4,1,1,1.109838005,,,,,
Alameda,Lease,PHEV,Ford,1,,3,4,5,1,1,1,0,1.24836566,,,,,
Kern,Purchase,PHEV,Chevrolet,1,,4,4,2,2,4,0,0,0.882897976,,,,,
Los Angeles,Lease,BEV,Nissan,1,,4,5,5,5,5,1,0,1.148494974,,,,,
San Mateo,Purchase,BEV,Tesla,1,,5,5,3,1,1,1,0,0.956926686,,,,,
Orange,Lease,BEV,Nissan,1,,4,4,4,3,3,1,0,1.226416004,,,,,
Los Angeles,Lease,BEV,Chevrolet,1,,5,5,5,5,5,1,0,0.877954319,,,,,
San Diego,Lease,PHEV,Toyota,1,,5,5,4,3,5,1,0,1.372477107,,,,,
Santa Clara,Lease,PHEV,Chevrolet,1,,5,5,5,1,5,1,0,1.276157154,,,,,
Contra Costa,Lease,BEV,Other,1,,5,5,5,3,4,1,0,0.589280616,,,,,
Los Angeles,Lease,BEV,Toyota,1,,5,5,5,,5,0,0,0.908147037,,,,,
Ventura,Lease,PHEV,Chevrolet,1,,4,5,5,4,3,1,0,1.023032375,,,,,
Kern,Lease,PHEV,Toyota,1,,5,5,5,5,5,,0,1.494780173,,,,,
Marin,Lease,BEV,Toyota,1,,4,4,4,5,5,1,0,0.821555416,,,,,
Los Angeles,Purchase,BEV,Tesla,1,,5,5,3,4,,1,0,0.897925164,,,,,
Los Angeles,Lease,BEV,Other,1,,5,5,5,5,5,0,0,1.068775263,,,,,
San Diego,Lease,BEV,Ford,1,,5,5,5,2,2,0,0,0.793477605,,,,,
Riverside,Purchase,PHEV,Chevrolet,1,,5,5,1,1,1,1,1,0.851877762,,,,,
Contra Costa,Purchase,PHEV,Chevrolet,1,,5,,,,,0,0,0.969755576,,,,,
Santa Clara,Lease,BEV,Nissan,1,,4,4,4,4,1,1,0,1.224368966,,,,,
Santa Clara,Lease,BEV,Chevrolet,1,,5,5,4,4,4,1,0,0.892192942,,,,,
Los Angeles,Lease,PHEV,Chevrolet,1,,3,3,5,1,1,1,0,1.255790796,,,,,
Sacramento,Lease,BEV,Nissan,1,,5,5,5,4,4,0,0,0.866691334,,,,,
Los Angeles,Lease,BEV,Nissan,1,,4,3,4,1,1,1,0,1.148494974,,,,,
Los Angeles,Lease,BEV,Nissan,1,,3,3,4,3,3,1,1,1.025456666,,,,,
Riverside,Purchase,PHEV,Chevrolet,1,,5,5,3,,5,1,0,0.851877762,,,,,
Orange,Lease,BEV,Toyota,1,,5,5,5,5,5,1,0,0.92441829,,,,,
San Diego,Lease,PHEV,Chevrolet,1,,5,5,5,,,1,0,1.033841441,,,,,
Los Angeles,Purchase,BEV,Toyota,1,,3,3,3,1,,1,0,0.712099261,,,,,
Santa Clara,Lease,PHEV,Ford,1,,5,5,5,1,1,1,0,1.239844351,,,,,
Los Angeles,Lease,PHEV,Chevrolet,1,,4,4,5,3,4,1,0,1.255790796,,,,,
Ventura,Lease,PHEV,Chevrolet,1,,5,5,5,2,5,1,0,1.023032375,,,,,
Contra Costa,Purchase,BEV,Toyota,1,,5,5,,,5,1,0,0.701295674,,,,,
Contra Costa,Purchase,PHEV,Chevrolet,1,,5,5,1,5,4,1,0,0.969755576,,,,,
San Diego,Purchase,PHEV,Chevrolet,1,,5,5,2,1,1,1,0,0.810659174,,,,,
Sacramento,Lease,BEV,Other,1,,1,2,5,3,2,1,0,0.43042802,,,,,
Santa Clara,Lease,BEV,Nissan,1,,4,3,5,5,2,1,0,1.167121213,,,,,
Alameda,Purchase,BEV,Tesla,1,,1,3,1,3,3,1,0,0.977121928,,,,,
Santa Clara,Lease,BEV,Nissan,1,,5,5,5,5,5,1,0,1.167121213,,,,,
San Diego,Purchase,PHEV,Toyota,1,,2,2,1,2,1,1,0,1.076191294,,,,,
Ventura,Purchase,BEV,Tesla,1,,5,5,1,5,5,1,0,0.777963697,,,,,
Ventura,Lease,BEV,Other,1,,5,5,4,3,5,1,0,0.487453971,,,,,
San Diego,Purchase,PHEV,Toyota,1,,5,5,1,2,4,1,0,1.076191294,,,,,
Riverside,Purchase,PHEV,Chevrolet,1,,5,5,1,5,3,1,0,0.851877762,,,,,
Alameda,Lease,BEV,Nissan,1,,3,4,4,4,3,1,0,1.232783915,,,,,
San Luis Obispo,Purchase,PHEV,Ford,1,,4,3,1,1,1,1,0,0.500035179,,,,,
Solano,Lease,PHEV,Chevrolet,1,,4,4,4,4,4,1,0,1.048684222,,,,,
Los Angeles,Purchase,PHEV,Chevrolet,1,,5,5,1,3,1,1,0,0.984694837,,,,,
Los Angeles,Lease,BEV,Toyota,1,,2,4,5,2,1,1,0,0.908147037,,,,,
Marin,Purchase,BEV,Tesla,1,,4,4,4,1,,0,0,0.863908889,,,,,
Los Angeles,Lease,PHEV,Chevrolet,1,,5,5,5,5,5,1,0,1.255790796,,,,,
Ventura,Purchase,PHEV,Chevrolet,1,,5,5,1,2,1,1,0,0.802183533,,,,,
Contra Costa,Lease,BEV,Nissan,1,,5,5,5,5,5,1,0,1.186550083,,,,,
Santa Cruz,Lease,PHEV,Ford,1,,4,4,4,4,3,1,0,1.005427221,,,,,
Los Angeles,Lease,BEV,Nissan,1,,4,4,5,1,3,1,0,1.204829103,,,,,
Ventura,Lease,PHEV,Chevrolet,1,,5,5,5,5,5,1,0,1.023032375,,,,,
Riverside,Lease,PHEV,Chevrolet,1,,1,3,3,1,1,1,0,1.086407904,,,,,
Orange,Purchase,PHEV,Chevrolet,1,,4,2,1,5,1,1,0,1.002337596,,,,,
Los Angeles,Lease,BEV,FIAT,1,,1,3,4,2,1,,0,1.109838005,,,,,
Sacramento,Lease,PHEV,Chevrolet,1,,3,3,5,1,4,1,0,0.903350523,,,,,
Los Angeles,Purchase,PHEV,Chevrolet,1,,4,3,1,1,2,1,0,0.984694837,,,,,
Alameda,Lease,BEV,Nissan,1,,5,5,3,,2,,0,1.232783915,,,,,
Del Norte,Purchase,PHEV,Chevrolet,1,,5,5,,,,1,0,0.725253457,,,,,
Los Angeles,Purchase,PHEV,Chevrolet,1,,5,5,1,3,1,1,0,0.984694837,,,,,
San Bernardino,Purchase,PHEV,Chevrolet,1,,5,5,1,,,0,0,0.91123,,,,,
San Diego,Lease,BEV,Nissan,1,,5,5,5,2,1,1,0,0.844216728,,,,,
Los Angeles,Purchase,BEV,Tesla,1,,2,2,5,1,5,1,0,0.954964549,,,,,
Los Angeles,Lease,PHEV,Chevrolet,1,,4,4,4,1,1,0,0,1.255790796,,,,,
Yolo,Lease,BEV,Nissan,1,,5,5,3,5,5,0,0,0.778059846,,,,,
Contra Costa,Purchase,BEV,Tesla,1,,2,2,1,1,1,1,0,0.94047634,,,,,
Los Angeles,Lease,PHEV,Toyota,1,,5,4,5,5,4,1,0,1.667126168,,,,,
Sacramento,Lease,BEV,Nissan,1,,4,4,4,1,3,0,0,0.866691334,,,,,
Los Angeles,Lease,BEV,Nissan,1,,4,4,5,2,,1,0,1.148494974,,,,,
Riverside,Lease,BEV,Nissan,1,,5,5,5,5,,1,0,0.993584298,,,,,
Los Angeles,Lease,BEV,Toyota,1,,1,4,4,1,4,,0,0.908147037,,,,,
Los Angeles,Purchase,PHEV,Chevrolet,1,,5,5,1,5,5,1,1,0.984694837,,,,,
Santa Barbara,Lease,PHEV,Chevrolet,1,,5,5,5,4,4,0,0,0.931069469,,,,,
Los Angeles,Lease,BEV,FIAT,1,,5,5,5,2,2,1,0,1.109838005,,,,,
Santa Clara,Purchase,BEV,Nissan,1,,4,4,1,3,3,1,0,0.91516695,,,,,
Santa Clara,Lease,BEV,Chevrolet,1,,1,1,5,5,1,0,0,0.892192942,,,,,
San Diego,Lease,BEV,Nissan,1,,5,4,5,4,3,1,0,0.991886754,,,,,
Los Angeles,Lease,BEV,Nissan,1,,4,4,4,5,3,1,0,1.148494974,,,,,
Orange,Purchase,PHEV,Chevrolet,1,,5,4,1,1,1,1,0,1.002337596,,,,,
Los Angeles,Lease,PHEV,Chevrolet,1,,5,5,5,5,5,1,0,1.255790796,,,,,
Contra Costa,Lease,BEV,Toyota,1,,5,5,5,5,5,1,0,0.894369118,,,,,
Los Angeles,Lease,PHEV,Toyota,1,,4,4,4,3,4,,1,1.667126168,,,,,
Los Angeles,Lease,PHEV,Chevrolet,1,,1,3,4,1,4,1,0,1.255790796,,,,,
Alameda,Lease,BEV,Nissan,1,,5,4,5,5,,1,0,1.232783915,,,,,
Los Angeles,Lease,PHEV,Chevrolet,1,,5,5,5,3,1,1,0,1.255790796,,,,,
San Luis Obispo,Purchase,BEV,Tesla,1,,3,3,,,,0,0,0.568679917,,,,,
Los Angeles,Lease,BEV,Nissan,1,,4,4,5,5,5,,0,1.204829103,,,,,
Santa Barbara,Lease,BEV,Nissan,1,,5,5,5,,,1,0,0.760294944,,,,,
Los Angeles,Purchase,PHEV,Chevrolet,1,,5,5,1,1,1,1,0,0.984694837,,,,,
Riverside,Purchase,PHEV,Chevrolet,1,,5,5,,5,,1,0,0.851877762,,,,,
Orange,Lease,BEV,Other,1,,1,3,5,3,1,1,0,0.609079371,,,,,
Orange,Lease,BEV,Other,1,,4,4,4,3,3,1,0,1.087924489,,,,,
Los Angeles,Lease,PHEV,Ford,1,,4,4,4,1,4,1,0,1.220057514,,,,,
Los Angeles,Lease,PHEV,Ford,1,,5,5,5,3,5,1,1,1.220057514,,,,,
Contra Costa,Purchase,BEV,Tesla,1,,4,4,,2,,1,0,0.94047634,,,,,
Ventura,Lease,PHEV,Chevrolet,1,,5,5,5,4,4,1,0,1.023032375,,,,,
San Diego,Lease,BEV,Nissan,1,,5,5,5,5,4,0,0,0.844216728,,,,,
Orange,Purchase,PHEV,Chevrolet,1,,4,3,1,1,1,1,0,1.002337596,,,,,
Ventura,Purchase,PHEV,Toyota,1,,1,1,1,1,1,0,0,1.064939449,,,,,
San Francisco,Lease,BEV,Other,1,,5,5,5,5,5,1,0,0.585375318,,,,,
Santa Clara,Lease,PHEV,Chevrolet,1,,3,4,4,3,3,1,0,1.276157154,,,,,
Los Angeles,Purchase,BEV,Nissan,1,,5,5,1,4,5,1,0,0.900561682,,,,,
Santa Cruz,Lease,PHEV,Ford,1,,5,5,4,3,5,1,0,0.882482066,,,,,
San Bernardino,Lease,PHEV,Chevrolet,1,,1,5,5,2,1,1,0,1.162100383,,,,,
Santa Clara,Purchase,BEV,Tesla,1,,4,3,2,2,3,1,0,0.804242647,,,,,
Los Angeles,Purchase,PHEV,Toyota,1,,5,5,1,5,,1,0,1.30723249,,,,,
Santa Clara,Purchase,BEV,Chevrolet,1,,5,5,1,5,3,1,0,0.699589284,,,,,
Alameda,Purchase,PHEV,Ford,1,,5,5,2,4,5,1,0,0.859174597,,,,,
San Diego,Lease,PHEV,Chevrolet,1,,5,5,3,1,3,1,0,1.033841441,,,,,
Kern,Lease,BEV,FIAT,1,,,,5,,,0,1,0.995103956,,,,,
Contra Costa,Purchase,BEV,Toyota,1,,5,5,3,3,2,1,0,0.701295674,,,,,
Orange,Lease,PHEV,Chevrolet,1,,4,4,4,1,5,1,0,1.278290776,,,,,
Los Angeles,Lease,BEV,Toyota,1,,5,5,5,1,5,1,0,0.908147037,,,,,
Contra Costa,Purchase,PHEV,Chevrolet,1,,5,4,1,5,1,1,0,0.969755576,,,,,
Ventura,Lease,BEV,Nissan,1,,4,4,4,5,1,1,0,0.835390235,,,,,
Santa Clara,Lease,BEV,Nissan,1,,5,5,4,3,3,1,0,1.167121213,,,,,
Alameda,Purchase,PHEV,Ford,1,,5,5,1,5,5,1,0,0.978872614,,,,,
Los Angeles,Purchase,PHEV,Chevrolet,1,,4,4,1,1,4,1,0,0.984694837,,,,,
Kern,Lease,BEV,FIAT,1,,1,5,5,4,5,1,0,0.995103956,,,,,
San Diego,Lease,PHEV,Chevrolet,1,,5,5,4,4,5,1,0,1.033841441,,,,,
Santa Clara,Lease,BEV,Nissan,1,,5,5,5,5,4,1,0,1.167121213,,,,,
Sacramento,Lease,BEV,Nissan,1,,3,3,3,1,1,0,0,0.826167494,,,,,
Lake,Purchase,PHEV,Chevrolet,1,,,5,,,,0,0,0.584638725,,,,,
San Diego,Purchase,PHEV,Ford,1,,2,3,1,1,4,1,0,0.691284086,,,,,
Contra Costa,Lease,BEV,Toyota,1,,5,5,5,2,5,1,0,0.894369118,,,,,
San Diego,Purchase,BEV,Nissan,1,,5,5,,,,1,0,0.777761526,,,,,
Alameda,Lease,PHEV,Chevrolet,1,,3,3,5,4,1,1,0,1.284928037,,,,,
Riverside,Lease,PHEV,Chevrolet,1,,4,3,3,,3,1,0,1.086407904,,,,,
Los Angeles,Purchase,PHEV,Ford,1,,5,5,1,3,1,1,0,0.839691812,,,,,
Alameda,Purchase,PHEV,Chevrolet,1,,5,5,5,5,5,1,0,1.007542027,,,,,
Kern,Lease,BEV,FIAT,1,,4,5,5,2,5,0,1,0.995103956,,,,,
Los Angeles,Lease,BEV,Nissan,1,,5,5,4,5,4,1,0,1.204829103,,,,,
Los Angeles,Lease,BEV,Nissan,1,,5,5,3,3,4,1,0,1.148494974,,,,,
Placer,Purchase,PHEV,Chevrolet,1,,5,5,1,1,,1,0,0.762586495,,,,,
Santa Clara,Purchase,BEV,Toyota,1,,4,4,2,1,,1,0,0.723648054,,,,,
Orange,Lease,PHEV,Chevrolet,1,,5,4,5,3,4,1,1,1.278290776,,,,,
Santa Clara,Purchase,BEV,Tesla,1,,5,5,1,5,5,1,0,0.970452121,,,,,
San Diego,Lease,BEV,Nissan,1,,4,4,5,2,3,,0,0.945509159,,,,,
Santa Barbara,Lease,BEV,Ford,1,,5,5,5,1,4,0,0,0.714599689,,,,,
Los Angeles,Lease,BEV,Toyota,1,,5,5,5,4,1,1,0,0.908147037,,,,,
Alameda,Lease,BEV,Nissan,1,,4,4,5,3,3,1,0,1.049249624,,,,,
Los Angeles,Purchase,PHEV,Ford,1,,4,4,1,2,3,1,0,0.956675537,,,,,
Santa Cruz,Purchase,PHEV,Chevrolet,1,,3,3,1,1,1,1,0,0.811469117,,,,,
Los Angeles,Lease,BEV,FIAT,1,,1,4,5,1,,0,0,1.109838005,,,,,
Alameda,Lease,PHEV,Chevrolet,1,,5,3,5,5,5,1,0,1.284928037,,,,,
Alameda,Lease,BEV,Nissan,1,,5,4,5,4,5,1,0,1.049249624,,,,,
Orange,Lease,PHEV,Chevrolet,1,,5,4,5,1,1,1,0,1.278290776,,,,,
Los Angeles,Purchase,BEV,Nissan,1,,5,5,1,2,,1,0,0.804084476,,,,,
Santa Clara,Purchase,PHEV,Chevrolet,1,,5,5,1,4,1,1,0,1.000664573,,,,,
San Bernardino,Lease,BEV,Chevrolet,1,,,5,5,,,0,0,0.81245304,,,,,
San Diego,Lease,BEV,Chevrolet,1,,4,4,5,4,,1,0,0.722784051,,,,,
Los Angeles,Lease,BEV,Nissan,1,,5,5,4,4,1,1,0,1.204829103,,,,,
San Francisco,Purchase,BEV,Tesla,1,,5,5,1,1,5,1,0,0.934243587,,,,,
Santa Cruz,Purchase,PHEV,Ford,1,,1,1,1,1,1,,0,0.69197476,,,,,
Los Angeles,Purchase,PHEV,Toyota,1,,5,5,1,1,1,1,0,1.30723249,,,,,
Santa Barbara,Purchase,PHEV,Ford,1,,1,1,1,1,1,0,0,0.709299182,,,,,
Orange,Lease,BEV,Nissan,1,,5,5,5,1,,1,0,1.169072537,,,,,
Orange,Purchase,PHEV,Ford,1,,5,5,1,4,5,1,0,0.973816275,,,,,
Santa Clara,Lease,BEV,FIAT,1,,5,5,5,1,1,1,0,1.127837307,,,,,
Alameda,Lease,BEV,Nissan,1,,5,5,5,5,,1,0,1.232783915,,,,,
Sonoma,Lease,PHEV,Chevrolet,1,,5,5,4,1,1,1,0,1.013667233,,,,,
Kern,Purchase,BEV,Tesla,1,,5,5,1,1,5,1,1,0.856241178,,,,,
Santa Clara,Lease,BEV,Nissan,1,,5,5,5,5,5,1,0,1.167121213,,,,,
Los Angeles,Lease,BEV,Ford,1,,5,5,5,3,5,1,0,0.963824658,,,,,
Sacramento,Purchase,PHEV,Ford,1,,5,4,1,5,1,1,0,0.604030575,,,,,
San Bernardino,Lease,PHEV,Ford,1,,4,5,5,5,5,1,0,0.990973182,,,,,
Orange,Purchase,BEV,Tesla,1,,5,5,1,3,4,,0,0.972074631,,,,,
Sonoma,Lease,BEV,Toyota,1,,4,2,5,5,4,1,0,0.733051155,,,,,
Los Angeles,Lease,PHEV,Chevrolet,1,,3,3,1,1,1,1,1,1.255790796,,,,,
San Francisco,Purchase,BEV,Nissan,1,,5,5,1,5,1,0,0,0.924235594,,,,,
San Diego,Lease,BEV,Other,1,,2,2,3,1,2,1,0,0.879879166,,,,,
Orange,Lease,BEV,Toyota,1,,5,4,1,2,4,1,0,0.92441829,,,,,
Sacramento,Purchase,PHEV,Toyota,1,,3,3,3,3,3,1,0,0.940354999,,,,,
Santa Clara,Purchase,PHEV,Toyota,1,,5,5,,3,,1,0,1.328433127,,,,,
Los Angeles,Lease,PHEV,Chevrolet,1,,4,4,5,4,4,1,1,1.255790796,,,,,
Alameda,Purchase,PHEV,Toyota,1,,5,5,5,1,4,1,0,1.337563297,,,,,
Santa Clara,Purchase,BEV,Tesla,1,,4,4,1,2,1,0,0,0.912487673,,,,,
Santa Clara,Lease,BEV,Nissan,1,,5,5,5,5,3,1,0,1.224368966,,,,,
San Diego,Purchase,PHEV,Toyota,1,,5,5,2,2,5,,0,1.076191294,,,,,
Los Angeles,Lease,BEV,Nissan,1,,5,5,5,5,5,1,0,1.204829103,,,,,
Los Angeles,Lease,PHEV,Chevrolet,1,,4,5,4,3,5,1,0,1.255790796,,,,,
Sacramento,Lease,PHEV,Chevrolet,1,,4,4,5,1,4,1,0,0.903350523,,,,,
San Diego,Lease,PHEV,Chevrolet,1,,5,4,2,1,1,1,0,1.033841441,,,,,
San Diego,Purchase,BEV,Nissan,1,,4,4,1,1,,1,0,0.741395772,,,,,
Lake,Lease,BEV,Nissan,1,,1,3,1,1,1,0,0,0.715338117,,,,,
Contra Costa,Purchase,PHEV,Chevrolet,1,,5,5,5,5,,1,0,0.969755576,,,,,
Riverside,Purchase,PHEV,Toyota,1,,5,5,1,5,5,1,0,1.130911067,,,,,
Ventura,Lease,BEV,Other,1,,1,4,3,1,1,0,0,0.487453971,,,,,
Sacramento,Purchase,BEV,Tesla,1,,2,2,1,1,2,1,0,0.686951782,,,,,
Los Angeles,Purchase,PHEV,Chevrolet,1,,2,2,1,1,1,1,0,0.984694837,,,,,
Los Angeles,Lease,PHEV,Chevrolet,1,,4,3,4,1,4,1,0,1.255790796,,,,,
San Mateo,Purchase,BEV,Tesla,1,,5,5,2,4,2,1,0,0.899770103,,,,,
Amador,Lease,BEV,Ford,1,,5,5,3,,,0,0,1.26427339,,,,,
Sacramento,Lease,BEV,Chevrolet,1,,1,5,5,1,1,1,0,0.631554631,,,,,
Los Angeles,Lease,BEV,Toyota,1,,5,5,5,1,3,1,0,0.908147037,,,,,
Los Angeles,Purchase,BEV,Nissan,1,,5,5,1,4,,1,1,0.944734586,,,,,
Sonoma,Lease,BEV,Nissan,1,,5,5,5,5,5,0,0,0.972531242,,,,,
San Mateo,Lease,BEV,Nissan,1,,5,5,5,1,5,1,0,1.150854751,,,,,
San Diego,Purchase,PHEV,Chevrolet,1,,5,3,,,,1,0,0.810659174,,,,,
