home_loc,dest_loc,HomeTAZfactor,superD_dest,n,dest_lat,dest_lon,HomeTAZ,home_lat,home_lon,opt_time,pes_time,transit_time
37.022716625+-121.53081025,37.0576792159091+-121.60403909517,706,14.0,897,37.05767922,-121.6040391,706,37.02271663,-121.5308103,703.0,741.0,NA
37.0324165714286+-121.645736428571,37.0576792159091+-121.60403909517,704,14.0,820,37.05767922,-121.6040391,704,37.03241657,-121.6457364,652.0,699.0,NA
37.065615952381+-121.579664380952,37.0576792159091+-121.60403909517,712,14.0,1111,37.05767922,-121.6040391,712,37.06561595,-121.5796644,248.0,283.0,2496.0
37.0921176+-121.584806,37.0576792159091+-121.60403909517,713,14.0,1290,37.05767922,-121.6040391,713,37.0921176,-121.584806,469.0,504.0,NA
37.1039917916667+-121.644159458333,37.0576792159091+-121.60403909517,701,14.0,1545,37.05767922,-121.6040391,701,37.10399179,-121.6441595,531.0,566.0,2430.0
37.1301812+-121.675715,37.0576792159091+-121.60403909517,703,14.0,861,37.05767922,-121.6040391,703,37.1301812,-121.675715,950.0,1186.0,4037.0
37.1370733333333+-121.606733083333,37.0576792159091+-121.60403909517,699,14.0,1090,37.05767922,-121.6040391,699,37.13707333,-121.6067331,728.0,838.0,NA
37.1575876942149+-121.870199520661,37.3010931597673+-121.989369051801,512,10.0,715,37.30109316,-121.9893691,512,37.15758769,-121.8701995,2399.0,2902.0,NA
37.2107325+-121.868550675,37.2504822831612+-121.839468711676,695,13.0,921,37.25048228,-121.8394687,695,37.2107325,-121.8685507,686.0,1033.0,4793.0
37.2276447028754+-121.983131188498,37.3010931597673+-121.989369051801,511,10.0,1153,37.30109316,-121.9893691,511,37.2276447,-121.9831312,843.0,1103.0,5120.0
37.232272025641+-121.940386871795,37.3010931597673+-121.989369051801,514,10.0,1055,37.30109316,-121.9893691,514,37.23227203,-121.9403869,1043.0,1434.0,7479.0
37.2346117815126+-121.766303529412,37.2504822831612+-121.839468711676,657,13.0,891,37.25048228,-121.8394687,657,37.23461178,-121.7663035,395.0,516.0,2053.0
37.2354043431953+-121.798904230769,37.2504822831612+-121.839468711676,661,13.0,1262,37.25048228,-121.8394687,661,37.23540434,-121.7989042,448.0,582.0,1604.0
37.2407939591837+-121.812449428571,37.2504822831612+-121.839468711676,664,13.0,787,37.25048228,-121.8394687,664,37.24079396,-121.8124494,450.0,580.0,1875.0
37.24096455+-121.9109468875,37.3010931597673+-121.989369051801,515,10.0,884,37.30109316,-121.9893691,515,37.24096455,-121.9109469,865.0,1248.0,5541.0
