HomeTAZfactor,superD_dest,taz_driving,taz_transit,commuter_count,home_lat,home_lon,dest_lat,dest_lon
2,1.0,7.0,8.0,47,37.79194939130435,-122.40115917391304,37.788717654718205,-122.40900092053552
3,1.0,6.0,5.0,77,37.790803825,-122.406266125,37.788717654718205,-122.40900092053552
4,1.0,6.0,4.0,23,37.78974415789473,-122.40378621052632,37.788717654718205,-122.40900092053552
5,1.0,4.0,4.0,166,37.790210863414636,-122.4074108292683,37.788717654718205,-122.40900092053552
5,2.0,12.0,26.0,23,37.790210863414636,-122.4074108292683,37.78494491888719,-122.44528827456274
5,3.0,28.0,19.0,41,37.790210863414636,-122.4074108292683,37.75073743885415,-122.42052814221317
6,1.0,2.0,4.0,894,37.78945631,-122.4123944,37.788717654718205,-122.40900092053552
6,2.0,12.0,22.0,162,37.789456305232555,-122.41239439534884,37.78494491888719,-122.44528827456274
6,3.0,27.0,21.0,153,37.789456305232555,-122.41239439534884,37.75073743885415,-122.42052814221317
6,4.0,32.0,33.0,39,37.789456305232555,-122.41239439534884,37.742438374444,-122.4808705677315
6,5.0,32.0,54.0,36,37.789456305232555,-122.41239439534884,37.65355542190556,-122.44983365772562
6,18.0,32.0,56.0,27,37.789456305232555,-122.41239439534884,37.79525905351587,-122.23454234396391
7,1.0,5.0,7.0,1292,37.78685991,-122.4137788,37.788717654718205,-122.40900092053552
7,2.0,10.0,18.0,281,37.78685991,-122.4137788,37.78494491888719,-122.44528827456274
7,3.0,21.0,19.0,291,37.78685991,-122.4137788,37.75073743885415,-122.42052814221317
7,4.0,32.0,31.0,61,37.7868599079602,-122.41377878109454,37.742438374444,-122.4808705677315
7,5.0,31.0,53.0,63,37.7868599079602,-122.41377878109454,37.65355542190556,-122.44983365772562
7,18.0,35.0,53.0,34,37.7868599079602,-122.41377878109454,37.79525905351587,-122.23454234396391
7,19.0,34.0,49.0,23,37.7868599079602,-122.41377878109454,37.86314654588441,-122.27415722294221
8,1.0,8.0,13.0,1424,37.78344787,-122.4123875,37.788717654718205,-122.40900092053552
8,2.0,13.0,25.0,246,37.78344787,-122.4123875,37.78494491888719,-122.44528827456274
8,3.0,18.0,15.0,322,37.78344787,-122.4123875,37.75073743885415,-122.42052814221317
8,4.0,31.0,29.0,74,37.78344786713287,-122.41238751748251,37.742438374444,-122.4808705677315
8,5.0,27.0,49.0,43,37.78344786713287,-122.41238751748251,37.65355542190556,-122.44983365772562
8,18.0,32.0,51.0,33,37.78344786713287,-122.41238751748251,37.79525905351587,-122.23454234396391
9,1.0,9.0,14.0,1793,37.78088306,-122.4172299,37.788717654718205,-122.40900092053552
9,2.0,11.0,27.0,524,37.78088306,-122.4172299,37.78494491888719,-122.44528827456274
9,3.0,19.0,14.0,733,37.78088306,-122.4172299,37.75073743885415,-122.42052814221317
9,4.0,28.0,27.0,116,37.780883056962026,-122.41722992194093,37.742438374444,-122.4808705677315
9,5.0,31.0,47.0,92,37.780883056962026,-122.41722992194093,37.65355542190556,-122.44983365772562
9,6.0,34.0,86.0,22,37.780883056962026,-122.41722992194093,37.54880006373962,-122.3030570928971
9,18.0,42.0,55.0,40,37.780883056962026,-122.41722992194093,37.79525905351587,-122.23454234396391
10,1.0,12.0,15.0,513,37.77687656,-122.4155765,37.788717654718205,-122.40900092053552
10,2.0,15.0,30.0,120,37.77687656261682,-122.4155765271028,37.78494491888719,-122.44528827456274
10,3.0,16.0,13.0,174,37.77687656261682,-122.4155765271028,37.75073743885415,-122.42052814221317
10,4.0,29.0,23.0,35,37.77687656261682,-122.4155765271028,37.742438374444,-122.4808705677315
10,5.0,22.0,47.0,26,37.77687656261682,-122.4155765271028,37.65355542190556,-122.44983365772562
10,18.0,32.0,51.0,20,37.77687656261682,-122.4155765271028,37.79525905351587,-122.23454234396391
11,1.0,13.0,10.0,857,37.78153024,-122.409137,37.788717654718205,-122.40900092053552
11,2.0,20.0,30.0,159,37.78153024081632,-122.40913696326531,37.78494491888719,-122.44528827456274
11,3.0,17.0,15.0,260,37.78153024,-122.409137,37.75073743885415,-122.42052814221317
11,4.0,32.0,27.0,46,37.78153024081632,-122.40913696326531,37.742438374444,-122.4808705677315
11,5.0,27.0,49.0,43,37.78153024081632,-122.40913696326531,37.65355542190556,-122.44983365772562
11,18.0,29.0,50.0,26,37.78153024081632,-122.40913696326531,37.79525905351587,-122.23454234396391
12,1.0,7.0,10.0,52,37.786811552631576,-122.40115303508772,37.788717654718205,-122.40900092053552
