,taz_key,SUPERD
0,6,1.0
1,7,1.0
2,8,1.0
3,9,1.0
4,24,1.0
5,25,1.0
6,26,1.0
7,27,1.0
8,28,1.0
9,29,1.0
10,30,1.0
11,31,1.0
12,32,1.0
13,33,1.0
14,34,1.0
15,35,1.0
16,36,1.0
17,37,1.0
18,38,1.0
19,39,1.0
20,40,1.0
21,41,1.0
22,42,1.0
23,43,2.0
24,44,2.0
25,45,2.0
26,46,2.0
27,47,2.0
28,48,2.0
29,49,2.0
30,50,2.0
31,51,2.0
32,52,2.0
33,53,2.0
34,54,2.0
35,55,2.0
36,56,2.0
37,57,2.0
38,58,2.0
39,59,2.0
40,60,2.0
41,61,2.0
42,62,2.0
43,63,2.0
44,64,2.0
45,65,2.0
46,66,2.0
47,67,2.0
48,68,2.0
49,69,2.0
50,70,2.0
51,71,2.0
52,72,2.0
53,73,2.0
54,74,2.0
55,75,2.0
56,76,2.0
57,77,2.0
58,78,2.0
59,79,2.0
60,80,2.0
61,81,2.0
62,82,2.0
63,83,2.0
64,84,2.0
65,85,2.0
66,86,2.0
67,87,2.0
68,88,2.0
69,89,2.0
70,90,3.0
71,91,3.0
72,92,3.0
73,93,3.0
74,94,3.0
75,95,3.0
76,96,3.0
77,97,3.0
78,98,3.0
79,99,3.0
80,100,3.0
81,101,3.0
82,102,3.0
83,103,3.0
84,104,3.0
85,105,3.0
86,106,3.0
87,107,3.0
88,111,3.0
89,112,3.0
90,113,3.0
91,114,3.0
92,115,3.0
93,116,3.0
94,117,3.0
95,118,3.0
96,119,3.0
97,120,3.0
98,121,3.0
99,122,3.0
100,123,3.0
101,124,3.0
102,125,3.0
103,126,3.0
104,127,3.0
105,128,3.0
106,129,3.0
107,130,3.0
108,131,3.0
109,132,3.0
110,133,3.0
111,134,3.0
112,135,3.0
113,136,3.0
114,137,3.0
115,138,3.0
116,139,3.0
117,140,3.0
118,141,3.0
119,142,3.0
120,143,3.0
121,144,3.0
122,145,3.0
123,146,3.0
124,147,3.0
125,148,3.0
126,149,3.0
127,150,3.0
128,151,3.0
129,1,1.0
130,2,1.0
131,3,1.0
132,4,1.0
133,5,1.0
134,10,1.0
135,11,1.0
136,12,1.0
137,13,1.0
138,14,1.0
139,15,1.0
140,16,1.0
141,17,1.0
142,18,1.0
143,19,1.0
144,20,1.0
145,21,1.0
146,22,1.0
147,23,1.0
148,108,3.0
149,109,3.0
150,110,3.0
151,152,3.0
152,153,3.0
153,154,3.0
154,155,3.0
155,156,3.0
156,157,3.0
157,158,3.0
158,159,3.0
159,160,3.0
160,161,3.0
161,162,3.0
162,163,3.0
163,164,3.0
164,165,3.0
165,166,3.0
166,167,3.0
167,168,4.0
168,169,4.0
169,170,4.0
170,171,4.0
171,172,4.0
172,173,4.0
173,174,4.0
174,175,4.0
175,176,4.0
176,177,4.0
177,178,4.0
178,179,4.0
179,180,4.0
180,181,4.0
181,182,4.0
182,183,4.0
183,184,4.0
184,185,4.0
185,186,4.0
186,187,4.0
187,188,4.0
188,189,4.0
189,190,4.0
190,191,5.0
191,192,5.0
192,193,5.0
193,194,5.0
194,195,5.0
195,196,5.0
196,197,5.0
197,198,5.0
198,199,5.0
199,200,5.0
200,201,5.0
201,202,5.0
202,203,5.0
203,204,5.0
204,205,5.0
205,206,5.0
206,207,5.0
207,208,5.0
208,209,5.0
209,210,5.0
210,211,5.0
211,212,5.0
212,213,5.0
213,214,5.0
214,217,5.0
215,218,5.0
216,219,5.0
217,220,5.0
218,221,5.0
219,222,5.0
220,223,5.0
221,224,5.0
222,225,5.0
223,226,5.0
224,227,5.0
225,228,5.0
226,229,5.0
227,230,5.0
228,231,5.0
229,232,5.0
230,233,5.0
231,234,5.0
232,235,5.0
233,236,5.0
234,237,5.0
235,238,5.0
236,239,5.0
237,240,5.0
238,241,5.0
239,242,5.0
240,243,5.0
241,244,5.0
242,245,5.0
243,246,5.0
244,247,5.0
245,248,5.0
246,249,6.0
247,250,6.0
248,251,6.0
249,252,6.0
250,253,6.0
251,254,6.0
252,255,6.0
253,256,6.0
254,257,6.0
255,258,6.0
256,259,6.0
257,260,6.0
258,261,6.0
259,262,6.0
260,263,6.0
261,264,6.0
262,265,6.0
263,266,6.0
264,267,6.0
265,268,6.0
266,269,6.0
267,270,6.0
268,271,6.0
269,272,6.0
270,273,6.0
271,274,6.0
272,275,6.0
273,276,6.0
274,277,6.0
275,278,6.0
276,279,6.0
277,280,6.0
278,281,6.0
279,282,6.0
280,283,6.0
281,284,6.0
282,285,6.0
283,286,6.0
284,287,6.0
285,288,6.0
286,289,6.0
287,290,6.0
288,291,6.0
289,292,6.0
290,293,6.0
291,294,6.0
292,295,6.0
293,296,6.0
294,297,7.0
295,298,7.0
296,299,7.0
297,300,7.0
298,301,7.0
299,302,7.0
300,215,5.0
301,216,5.0
302,303,7.0
303,304,7.0
304,305,7.0
305,306,7.0
306,307,7.0
307,308,7.0
308,309,7.0
309,310,7.0
310,311,7.0
311,312,7.0
312,313,7.0
313,314,7.0
314,315,7.0
315,316,7.0
316,317,7.0
317,318,7.0
318,319,7.0
319,320,7.0
320,321,7.0
321,322,7.0
322,323,7.0
323,324,7.0
324,325,7.0
325,326,7.0
326,327,7.0
327,328,7.0
328,329,7.0
329,330,7.0
330,331,7.0
331,332,7.0
332,333,7.0
333,334,7.0
334,335,7.0
335,336,7.0
336,337,7.0
337,338,7.0
338,339,7.0
339,340,7.0
340,341,7.0
341,342,7.0
342,343,7.0
343,344,7.0
344,345,7.0
345,346,7.0
346,352,8.0
347,353,8.0
348,354,8.0
349,355,8.0
350,356,8.0
351,357,8.0
352,358,8.0
353,359,8.0
354,360,8.0
355,361,8.0
356,362,8.0
357,363,8.0
358,364,8.0
359,365,8.0
360,366,8.0
361,367,8.0
362,368,8.0
363,369,8.0
364,370,8.0
365,371,8.0
366,372,8.0
367,373,8.0
368,374,8.0
369,375,8.0
370,376,8.0
371,377,8.0
372,378,8.0
373,379,8.0
374,380,8.0
375,381,8.0
376,382,8.0
377,383,8.0
378,384,8.0
379,385,8.0
380,386,8.0
381,387,8.0
382,388,8.0
383,389,8.0
384,390,8.0
385,391,9.0
386,392,9.0
387,393,9.0
388,394,9.0
389,401,9.0
390,402,9.0
391,413,9.0
392,414,9.0
393,420,9.0
394,421,9.0
395,422,9.0
396,423,9.0
397,424,9.0
398,425,9.0
399,436,9.0
400,437,9.0
401,438,9.0
402,439,9.0
403,440,9.0
404,441,9.0
405,442,9.0
406,443,9.0
407,444,9.0
408,445,9.0
409,446,9.0
410,447,9.0
411,448,9.0
412,449,9.0
413,450,9.0
414,451,9.0
415,452,9.0
416,453,9.0
417,454,9.0
418,455,9.0
419,456,9.0
420,457,9.0
421,458,9.0
422,459,9.0
423,460,10.0
424,461,10.0
425,462,10.0
426,463,10.0
427,464,10.0
428,465,10.0
429,466,10.0
430,467,10.0
431,468,10.0
432,469,10.0
433,470,10.0
434,471,10.0
435,472,10.0
436,473,10.0
437,474,10.0
438,475,10.0
439,476,10.0
440,477,10.0
441,478,10.0
442,479,10.0
443,480,10.0
444,481,10.0
445,482,10.0
446,483,10.0
447,484,10.0
448,485,10.0
449,486,10.0
450,487,10.0
451,488,10.0
452,489,10.0
453,490,10.0
454,491,10.0
455,492,10.0
456,493,10.0
457,494,10.0
458,495,10.0
459,496,10.0
460,497,10.0
461,498,10.0
462,499,10.0
463,500,10.0
464,501,10.0
465,502,10.0
466,503,10.0
467,504,10.0
468,505,10.0
469,506,10.0
470,507,10.0
471,508,10.0
472,509,10.0
473,510,10.0
474,511,10.0
475,512,10.0
476,513,10.0
477,514,10.0
478,515,10.0
479,516,10.0
480,517,10.0
481,518,10.0
482,519,10.0
483,520,10.0
484,521,10.0
485,522,11.0
486,523,11.0
487,524,11.0
488,525,11.0
489,526,11.0
490,527,11.0
491,528,11.0
492,529,11.0
493,530,11.0
494,531,11.0
495,532,11.0
496,533,11.0
497,534,11.0
498,535,11.0
499,536,11.0
500,537,11.0
501,540,11.0
502,541,11.0
503,542,11.0
504,543,11.0
505,544,11.0
506,545,11.0
507,546,11.0
508,547,11.0
509,548,11.0
510,549,11.0
511,550,11.0
512,551,11.0
513,552,11.0
514,553,11.0
515,554,11.0
516,555,11.0
517,556,11.0
518,557,11.0
519,558,11.0
520,559,11.0
521,560,11.0
522,561,11.0
523,562,11.0
524,563,11.0
525,564,11.0
526,565,11.0
527,566,11.0
528,567,11.0
529,568,11.0
530,569,11.0
531,570,11.0
532,571,11.0
533,572,11.0
534,573,11.0
535,574,11.0
536,575,11.0
537,576,11.0
538,577,11.0
539,578,11.0
540,579,11.0
541,580,11.0
542,581,12.0
543,582,12.0
544,583,12.0
545,584,12.0
546,585,12.0
547,586,12.0
548,587,12.0
549,588,12.0
550,589,12.0
551,590,12.0
552,591,12.0
553,592,12.0
554,593,12.0
555,594,12.0
556,595,12.0
557,596,12.0
558,597,12.0
559,598,12.0
560,599,12.0
561,600,12.0
562,601,12.0
563,605,12.0
564,606,12.0
565,609,12.0
566,610,12.0
567,611,12.0
568,612,12.0
569,613,12.0
570,614,12.0
571,615,12.0
572,616,12.0
573,617,12.0
574,618,12.0
575,619,12.0
576,620,12.0
577,621,12.0
578,622,12.0
579,623,12.0
580,624,12.0
581,625,12.0
582,626,12.0
583,627,12.0
584,628,12.0
585,629,12.0
586,630,12.0
587,631,12.0
588,632,12.0
589,633,12.0
590,634,12.0
591,635,12.0
592,636,12.0
593,637,12.0
594,638,12.0
595,639,12.0
596,640,12.0
597,641,12.0
598,642,12.0
599,643,12.0
600,644,12.0
601,645,12.0
602,646,12.0
603,647,12.0
604,648,12.0
605,649,12.0
606,650,12.0
607,651,12.0
608,652,12.0
609,653,12.0
610,654,12.0
611,655,12.0
612,656,13.0
613,657,13.0
614,658,13.0
615,659,13.0
616,660,13.0
617,661,13.0
618,662,13.0
619,663,13.0
620,664,13.0
621,665,13.0
622,666,13.0
623,667,13.0
624,668,13.0
625,669,13.0
626,670,13.0
627,671,13.0
628,672,13.0
629,673,13.0
630,674,13.0
631,675,13.0
632,676,13.0
633,677,13.0
634,678,13.0
635,679,13.0
636,680,13.0
637,681,13.0
638,682,13.0
639,683,13.0
640,684,13.0
641,685,13.0
642,686,13.0
643,687,13.0
644,688,13.0
645,689,13.0
646,690,13.0
647,691,13.0
648,692,13.0
649,693,13.0
650,694,13.0
651,695,13.0
652,696,13.0
653,697,14.0
654,698,14.0
655,699,14.0
656,700,14.0
657,701,14.0
658,702,14.0
659,703,14.0
660,704,14.0
661,705,14.0
662,706,14.0
663,707,14.0
664,708,14.0
665,709,14.0
666,710,14.0
667,711,14.0
668,712,14.0
669,713,14.0
670,714,14.0
671,715,15.0
672,716,15.0
673,717,15.0
674,718,15.0
675,719,15.0
676,720,15.0
677,721,15.0
678,722,15.0
679,723,15.0
680,724,15.0
